USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
ashishsingh      73305  20.4  0.1 435305792  10704   ??  S     8:38PM   0:00.09 /usr/libexec/proactived
ashishsingh        699  18.3  0.2 435375584  17808   ??  U     9:07PM 178:40.93 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
ashishsingh      73266  15.8  2.4 435554464 200224   ??  S     8:38PM   0:04.64 /System/Library/PrivateFrameworks/MediaAnalysis.framework/Versions/A/mediaanalysisd
ashishsingh        653  13.1  2.0 537293808 169152   ??  S     9:07PM  21:03.97 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
ashishsingh      71924  10.5  0.5 440388816  39152   ??  U     8:28PM   0:03.56 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/MacOS/Safari
_windowserver      414   9.8  0.5 436408560  38624   ??  Ss    9:07PM 140:59.38 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
ashishsingh        694   5.4  0.2 435409776  17056   ??  U     9:07PM 131:02.04 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
ashishsingh        616   4.6  0.2 435386992  17968   ??  S     9:07PM   3:19.07 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
ashishsingh        625   4.4  0.1 435343520  10064   ??  U     9:07PM   1:40.83 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
root               389   4.3  0.2 435359216  12976   ??  Ss    9:07PM   4:46.32 /usr/libexec/PerfPowerServices
root               514   4.3  0.1 435455024   8240   ??  Ss    9:07PM   2:48.69 /usr/libexec/syspolicyd
ashishsingh        672   4.3  0.2 435694864  20704   ??  S     9:07PM   3:44.18 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
ashishsingh        675   3.7  0.5 435940688  38944   ??  S     9:07PM   5:12.97 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
_trustd            411   3.3  0.1 435352816   6944   ??  Ss    9:07PM   1:20.05 /usr/libexec/trustd
root               405   3.3  0.1 435361856   8976   ??  Ss    9:07PM   0:55.72 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
root               373   2.6  0.1 435346896   5888   ??  Ss    9:07PM   2:25.34 /usr/libexec/opendirectoryd
ashishsingh       2168   2.4  1.2 1949438992 100240   ??  S     9:27PM  12:56.29 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=44 --time-ticks-at-unix-epoch=-1786462601060958 --launch-time-ticks=1265052439 --shared-files --metrics-shmem-handle=1752395122,r,5786410994231603682,4414820992818246347,2097152 --field-trial-handle=1718379636,r,18192539357796610590,16074816570100697174,262144 --variations-seed-version=20260809-030041.537000-production --pseudonymization-salt-handle=1935764596,r,6779163293611924589,8537752531562903420,4 --trace-process-track-uuid=3190709027541712850 --seatbelt-client=67
ashishsingh        827   2.1  0.7 486680272  55264   ??  S     9:07PM  41:06.65 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.77/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=gpu-process --gpu-preferences=WAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAQAAAAAAAAAADAAAAAAAAADgAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAKAAAAAAAAAAoAAAAAAAAAAgAAAAAAAAADAAAAAEAAAAAAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --shared-files --metrics-shmem-handle=1752395122,r,16686631584853536954,6069829800799065738,262144 --field-trial-handle=1718379636,r,18192539357796610590,16074816570100697174,262144 --variations-seed-version=20260809-030041.537000-production --pseudonymization-salt-handle=1935764596,r,6779163293611924589,8537752531562903420,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=16
root               410   2.1  0.1 435356336   9664   ??  Ss    9:07PM   4:14.28 /usr/libexec/runningboardd
ashishsingh        633   1.6  0.2 435439328  18064   ??  S     9:07PM   3:33.84 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
root                 1   1.5  0.1 435246768  10896   ??  Ss    9:06PM   6:50.13 /sbin/launchd
ashishsingh        746   1.5  0.3 435728672  23152   ??  S     9:07PM   9:07.35 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
ashishsingh        674   1.4  0.1 435364144  11136   ??  U     9:07PM   0:54.00 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
ashishsingh        751   1.4  0.2 436618736  14768   ??  S     9:07PM   1:05.75 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
ashishsingh        829   1.4  0.1 435369344   5392   ??  Ss    9:07PM   0:06.50 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("en-IN")
ashishsingh      73281   1.4  0.4 435528096  32656   ??  S     8:38PM   0:00.15 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
ashishsingh        748   1.2  0.1 435307152   5088   ??  S     9:07PM   0:06.44 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
root             73230   1.2  0.0 435301376   2896   ??  Ss    8:38PM   0:00.05 /usr/libexec/sysmond
ashishsingh      73308   1.0  0.0 410059888    288   ??  U     8:38PM   0:00.01 /usr/libexec/inputanalyticsd
root               332   1.0  0.1 435419680   8448   ??  Ss    9:07PM   5:02.09 /usr/libexec/logd
